"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"4","Sema3e",1.9251559154698e-28,2.30462980332092,0.357,0.134,3.92115756862888e-24
"4","Creb3l1",3.71380202082634e-18,2.28382191223991,0.123,0.026,7.56427195601908e-14
"5","Opn5",0,8.83731539707215,0.869,0.012,0
"5","Rxfp2",0,6.80203664036069,0.88,0.037,0
"5","Samd3",0,6.4355838580891,0.653,0.014,0
"5","Fgf10",1.5922311731928e-269,5.61542962895983,0.556,0.018,3.24305645355909e-265
"5","Plce1",0,5.14154735593937,0.961,0.098,0
"5","Cwh43",4.27977521796783e-54,4.72995299838411,0.127,0.005,8.71704616395688e-50
"5","Lhx9",7.92761625292528e-182,4.50076268678776,0.448,0.022,1.61469687839582e-177
"5","Dach2",2.94302654631809e-210,4.08751136581119,0.772,0.094,5.99435646954068e-206
"5","Pax6",1.73224336363656e-62,4.03605612610979,0.201,0.016,3.52823328305495e-58
"5","Eepd1",2.12822777564242e-119,3.93740095001732,0.494,0.063,4.33477433342849e-115
"5","Osbpl3",1.15564700210553e-190,3.9147669083556,0.714,0.085,2.35382181388854e-186
"5","Kif18b",2.85412920293517e-53,3.89458370015691,0.154,0.01,5.81329036053836e-49
"5","Rasgrp1",3.31098576360914e-218,3.80416667121691,0.915,0.154,6.7438158033191e-214
"5","Ptger3",1.16937890487779e-124,3.77817420804159,0.467,0.05,2.38179095345508e-120
"5","Asb4",5.2288123897622e-60,3.40648273868834,0.278,0.037,1.06500450754677e-55
"5","Lrp2",1.08813519586855e-63,3.34814942837201,0.282,0.035,2.21631376694506e-59
"5","Spon1",1.59270585399439e-162,3.34265269997519,0.931,0.264,3.24402328341577e-158
"5","Fam221a",5.52927360727015e-59,3.33131627053507,0.236,0.025,1.12620244832878e-54
"5","Phactr2",3.18926051945325e-68,3.01507408047769,0.579,0.166,6.49588582602238e-64
"5","Sertm1",1.95679505904443e-67,2.98322473260453,0.402,0.073,3.9856001762617e-63
"6","Nxph2",3.71418164222765e-26,3.82984165057883,0.183,0.034,7.56504516888928e-22
"6","Nos1",8.75807146761464e-106,2.66864998560732,0.858,0.257,1.78384399652375e-101
"6","Mlip",1.85130178539081e-32,2.53780482349337,0.372,0.107,3.770731476484e-28
"6","Lmntd1",1.65122341717809e-12,2.35148875126769,0.124,0.031,3.36321185610833e-08
"6","Dnah14",1.20127273884491e-19,2.32556642268429,0.211,0.056,2.44675231447932e-15
"6","Adamts12",4.33515874965357e-11,2.22777531185257,0.179,0.063,8.8298513412944e-07
"6","Lmo3",2.98453708305974e-38,2.14022141869535,0.55,0.199,6.07890513077607e-34
"6","Nxph1",1.189643374313e-52,2.12790400148214,0.817,0.441,2.42306562480071e-48
"6","Adamtsl1",2.32275250691764e-16,2.09541389516514,0.353,0.161,4.73098230608985e-12
"6","Calcrl",1.98487005439995e-21,2.09242761988384,0.257,0.073,4.04278332680181e-17
"6","Ccdc3",3.72103933876108e-13,2.07588131100396,0.151,0.042,7.57901292518856e-09
"6","Scn5a",2.26535309511945e-43,2.03219359644023,0.569,0.198,4.61407118413929e-39
"6","Phldb2",2.71530681826063e-19,1.99526285079568,0.248,0.074,5.53053692743326e-15
"6","Plcb2",5.65501728620447e-12,1.98006790597535,0.133,0.036,1.15181392085413e-07
"6","Cracdl",9.27483067855872e-37,1.91272159764895,0.61,0.254,1.88909751260884e-32
"6","Rasal1",4.18095109972333e-30,1.91166815105896,0.44,0.154,8.51576119991649e-26
"6","Mgll",4.01066088196779e-35,1.89794354227767,0.5,0.173,8.16891408439199e-31
"6","Adra1a",1.60201898637356e-42,1.88912814947678,0.661,0.265,3.26299227144567e-38
"6","Rfx2",3.20854037963115e-10,1.87968133588494,0.119,0.034,6.53515504523273e-06
"6","Hrh1",1.32716673142381e-29,1.86098027082735,0.463,0.164,2.70317319856401e-25
"7","Met",6.07171649791703e-45,5.59821926304986,0.107,0.004,1.23668721629574e-40
"7","Col27a1",1.49126592696584e-35,5.06309087103795,0.226,0.034,3.03741044004402e-31
"7","Prox1",2.20554905784233e-132,4.44912048881035,0.497,0.04,4.49226232101326e-128
"7","Maf",5.1646850413698e-71,4.41772711221374,0.492,0.087,1.0519430492262e-66
"7","Isl1",1.2494738717118e-124,4.37694738160732,0.401,0.024,2.5449283819026e-120
