"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"2","Adarb2",2.39938247369906e-65,3.41451454683419,1,0.629,4.28169802431597e-61
"2","Arhgap28",4.03065390213385e-45,3.37804329179664,0.463,0.054,7.19270188835785e-41
"2","Npffr1",1.43375604775983e-13,3.04849851769119,0.157,0.022,2.55853766722741e-09
"2","Rit2",1.517579078128e-66,2.95806770592654,1,0.373,2.70811986491942e-62
"2","Hrh1",5.67588457871239e-27,2.93956414613803,0.333,0.048,1.01286160307123e-22
"2","Ndnf",5.10423589359848e-14,2.85887226286512,0.176,0.027,9.10850895212648e-10
"2","Th",1.30740861128014e-13,2.84589996571937,0.176,0.027,2.33307066682942e-09
"2","Sox5",2.30996894704458e-59,2.84363594564567,0.972,0.486,4.12213958600105e-55
"2","Rxfp1",3.56535884362941e-07,2.70454411647383,0.111,0.023,0.00636238285645668
"2","Sbspon",3.57606152454149e-09,2.63742992061529,0.12,0.02,6.3814817905443e-05
"2","Chml",8.15308057281893e-12,2.63054353503005,0.157,0.026,1.45491722821954e-07
"2","Rasgrf2",1.25207639940136e-41,2.49562919905492,0.759,0.194,2.23433033473173e-37
