"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Ptger4",3.00669067228407e-34,3.67187772570343,0.171,0.014,5.503747275616e-30
"1","Smoc2",3.09147088921759e-41,3.63005755000881,0.226,0.023,5.65893746271281e-37
"1","Caprin2",2.71322154639565e-172,3.61882452375281,0.965,0.245,4.96655204067723e-168
"1","Hmcn1",9.81265262464796e-102,3.53366158398846,0.532,0.057,1.79620606294181e-97
"1","Lgr6",4.29042600576909e-25,3.48284390131342,0.132,0.012,7.85362480356032e-21
"1","Tbc1d8b",2.77336764510345e-105,3.36637517872918,0.597,0.081,5.07664947436186e-101
"1","Ly75",3.78686263213455e-106,3.31824077108873,0.603,0.081,6.9318520481223e-102
"1","Rufy4",2.02791534418226e-43,3.27956030292467,0.255,0.03,3.71209903752562e-39
"1","Ell2",7.18010536764804e-92,3.2373827195161,0.571,0.09,1.31431828754797e-87
"1","Fosl2",9.53086826043699e-21,3.20239244240221,0.168,0.032,1.74462543507299e-16
"1","Uncx",7.77265311138033e-22,3.12998394687416,0.148,0.022,1.42278415203817e-17
"1","Angpt1",9.21197923194344e-102,3.12390943246448,0.694,0.14,1.68625279840725e-97
"1","Sim1",1.1788141399546e-159,3.1156954672432,0.929,0.2,2.1578192831869e-155
"1","Pla2r1",4.86241235950266e-15,3.06345625215829,0.113,0.02,8.90064582406962e-11
"1","Tom1l1",2.85288468987573e-50,2.93491213153723,0.326,0.046,5.22220542481752e-46
"1","Mbnl3",1.31553734012521e-19,2.87746185935333,0.126,0.017,2.40809110109919e-15
"1","Rfx2",2.15518979773806e-23,2.87279041962943,0.152,0.021,3.94507492475952e-19
"1","Nos1",1.48844775209002e-76,2.83537645798631,0.568,0.113,2.72460361020079e-72
"2","Hs3st3b1",3.64114355075223e-28,4.9503922342451,0.116,0.003,6.66511326965196e-24
"2","Esr2",1.52793282710494e-90,4.72737350725919,0.527,0.034,2.7968810400156e-86
"2","Hs3st3a1",9.84138041033303e-53,4.60574406285766,0.268,0.013,1.80146468411146e-48
"2","Qrfpr",7.67499445001642e-49,4.59173720486378,0.25,0.012,1.40490773407551e-44
"2","Dapl1",2.1323390598521e-22,4.28826187300149,0.107,0.005,3.90324664905927e-18
"2","Reln",2.8910558132474e-83,3.30113544417032,0.991,0.278,5.29207766614936e-79
"2","Igf1",1.68715395120681e-23,3.29831553766541,0.214,0.026,3.08833530768407e-19
"2","Arhgap28",4.34263929377678e-51,3.29677337285701,0.455,0.054,7.9492012272584e-47
"2","Frem1",2.91822562851715e-19,3.25078716758283,0.17,0.02,5.34181201300064e-15
"2","Th",8.60898741806842e-18,3.13625877955644,0.17,0.022,1.57587514687742e-13
"2","Ndnf",3.72942895415333e-18,2.88899168958096,0.17,0.021,6.82671970057767e-14
"2","Npffr1",1.49749010190068e-13,2.85962677032192,0.152,0.024,2.7411556315292e-09
"2","Sox5",1.75428714270697e-62,2.81661188982153,0.973,0.479,3.21122261472511e-58
"2","Rit2",2.07218441030751e-64,2.81288871049517,0.982,0.401,3.7931335630679e-60
"2","Adarb2",1.02764520688574e-61,2.74380626032277,1,0.644,1.88110455120435e-57
"2","Chml",3.0299672044961e-12,2.65341049648797,0.152,0.026,5.54635496783011e-08
"2","Sbspon",1.78468781582215e-09,2.56510207836031,0.116,0.02,3.26687104686244e-05
"2","Opn3",8.11099989121242e-16,2.50535999466842,0.241,0.05,1.48471853008643e-11
"2","Hrh1",3.06676737768319e-21,2.43581906141535,0.33,0.07,5.61371768484908e-17
"2","Rasgrf2",7.82301670932607e-42,2.41559403335131,0.741,0.201,1.43200320864214e-37
